Date,TOTALDEMAND,PRICECATEGORY,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Month,Weekday,Weekend
2021-01-01,5019.64,LOW,15.6,29.9,0.0,2.8,9.3,22.5,31.0,794.0,19.2,77.0,6,0.0,2,1018.8,28.1,43,5.0,90.0,13,1015.3,1,4,False
2021-01-02,4964.35,LOW,18.4,29.0,0.0,9.4,1.3,337.5,30.0,502.0,23.3,52.0,7,337.5,17,1013.3,28.7,38,7.0,225.0,4,1008.5,1,5,False
2021-01-03,4503.31,LOW,17.0,26.2,12.6,4.8,7.1,247.5,33.0,1075.0,18.3,100.0,8,247.5,4,1007.7,23.5,59,4.0,202.5,2,1005.2,1,6,True
2021-01-04,4764.18,LOW,16.0,18.6,2.6,3.8,0.0,157.5,41.0,963.0,16.2,98.0,8,157.5,11,1010.0,18.2,82,8.0,202.5,17,1011.0,1,0,True
2021-01-05,4800.64,LOW,15.9,19.1,11.2,1.0,0.0,157.5,35.0,662.0,17.2,96.0,8,157.5,13,1012.5,18.2,82,8.0,157.5,19,1013.3,1,1,False
2021-01-06,4691.13,LOW,13.7,19.2,1.2,1.0,3.2,180.0,35.0,896.0,15.2,72.0,7,180.0,11,1020.0,18.1,63,7.0,202.5,17,1020.0,1,2,False
2021-01-07,4994.78,LOW,14.7,25.7,0.0,3.6,12.1,157.5,44.0,801.0,18.6,70.0,4,157.5,13,1023.9,24.3,46,4.0,157.5,20,1022.0,1,3,False
2021-01-08,5365.19,MEDIUM,12.7,24.3,0.0,9.8,13.1,202.5,31.0,904.0,18.6,59.0,1,45.0,6,1024.8,23.1,53,1.0,202.5,11,1022.2,1,4,False
2021-01-09,5863.37,MEDIUM,14.2,27.9,0.0,7.0,12.9,337.5,30.0,586.0,19.7,69.0,1,22.5,11,1022.0,24.4,59,2.0,202.5,11,1019.3,1,5,False
2021-01-10,6859.02,MEDIUM,16.9,33.5,0.0,8.0,9.6,90.0,24.0,1156.0,19.3,85.0,8,22.5,6,1020.4,26.7,60,1.0,225.0,11,1015.9,1,6,True
