,PRICECATEGORY,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Month,Weekday
Minimum temperature (°C),0.2931361649901887,,,,,,,,,,,,,,,,,,,,,,
Maximum temperature (°C),0.31416257145902654,0.39374478904010035,,,,,,,,,,,,,,,,,,,,,
Rainfall (mm),0.06899337539262529,0.31054884699598323,0.2878694008857394,,,,,,,,,,,,,,,,,,,,
Evaporation (mm),0.25548027718200655,0.40957558983672465,0.36041162668688986,0.3159594713303376,,,,,,,,,,,,,,,,,,,
Sunshine (hours),0.16287972626616762,0.36560663436117746,0.35124585405161973,0.28953699045731773,0.3592595071474346,,,,,,,,,,,,,,,,,,
Direction of maximum wind gust ,0.13030791513946172,0.27491455421368555,0.2822585542180953,0.17117655221860872,0.25706764058580656,0.30800220074177975,,,,,,,,,,,,,,,,,
Speed of maximum wind gust (km/h),0.1303484007727997,0.2884459541786904,0.3049886248487555,0.2037813470884153,0.30805599081582785,0.3114973735868528,0.22679685395759291,,,,,,,,,,,,,,,,
Time of maximum wind gust,0.15318345641494016,0.3463946535248835,0.34734385292565406,0.2780342586387852,0.34178977485515577,0.34934893905805314,0.29969005611709226,0.27396896293376743,,,,,,,,,,,,,,,
9am Temperature (°C),0.2800452507014945,0.4980677699214863,0.42515894306635954,0.2906991452312102,0.3804961625144163,0.37620847340075486,0.3142801999696649,0.3161204046284573,0.35793079320934323,,,,,,,,,,,,,,
9am relative humidity (%),0.1514368584251821,0.3515769549580697,0.35237390761595194,0.284764864829073,0.35803934067579574,0.33584788525212284,0.24319745024631959,0.29491847133527666,0.3218662762224847,0.36821073948135347,,,,,,,,,,,,,
9am cloud amount (oktas),0.06219453180247543,0.2595534167560868,0.25581788327071575,0.12584134958943288,0.23284321462147398,0.3780155771373455,0.17179361215699082,0.1709417327870636,0.23511149612903576,0.2464199292983574,0.234219830827753,,,,,,,,,,,,
