,TOTALDEMAND,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Month,Weekday,Weekend
TOTALDEMAND,1.0,-0.4829170321902509,-0.2787024324856709,-0.07018005030233108,-0.24058345179672067,-0.16151377704637435,-0.08147238870083359,0.10915564884517262,-0.18824146377499748,-0.37577449957308817,0.08601816151769064,-0.14985141491960435,-0.32644840524955937,0.13891607440388343,0.036497543165236096,-0.3070124698528542,0.06457195803612341,0.08323287678877231,-0.16831367864219776,-0.01255918381485066,-0.01873727223803439,0.5664941489044851,-0.24894804481113056,-0.08506488541761101
Minimum temperature (°C),-0.4829170321902509,1.0,0.703873712409207,0.039265869363923254,0.6580854977693534,0.10102697216071393,0.07349058011965859,0.023414270870189064,0.11934977845087925,0.9117839260979594,-0.32052110798497274,0.1945831840089425,0.2077202458031433,-0.016722232393948534,-0.31402570953625497,0.6592271362455958,-0.05909469208661081,0.05376844171874061,0.09234841834889447,-0.05485885785585236,-0.2818428027841575,-0.7551762567501344,0.015283348781575569,-0.008879085543897785
Maximum temperature (°C),-0.2787024324856709,0.703873712409207,1.0,-0.12914052116770194,0.6176568628882817,0.4830470340645809,-0.07782418318373092,-0.07645486387711248,0.17504201349796017,0.8203637907656309,-0.302421913026444,-0.18186259917818892,-0.09726031863724968,-0.08376871528868936,-0.09064711072947408,0.967649510026044,-0.4635275310464796,-0.24733329900340575,-0.06696615871181144,-0.04843151663958911,-0.1750171130127341,-0.6938343120218083,0.0781381174438289,0.0032297602110116673
Rainfall (mm),-0.07018005030233108,0.039265869363923254,-0.12914052116770194,1.0,-0.0475967829364532,-0.14794694740452902,0.07791784410643508,0.04435353110166921,-0.09672385218454665,-0.027993354438899137,0.19740261804539977,0.06891668635497208,0.24242295684685938,-0.07311838394626902,-0.13535640903820947,-0.131174919687165,0.19262505976870387,0.1130831294964484,0.07382852883611021,0.04892675062103098,-0.05604180472296496,-0.028461773646421353,0.020850638608293774,-0.038349785811316636
Evaporation (mm),-0.24058345179672067,0.6580854977693534,0.6176568628882817,-0.0475967829364532,1.0,0.2872632402312077,0.018672011020094876,0.1443648491733764,0.020263955087862804,0.708552405216542,-0.5248659520406416,0.0008663822743769558,0.07064560083818976,0.11147446935724253,-0.26586794924600676,0.5537846647458061,-0.2093419320857317,-0.10333933734841515,0.0815015815933485,-7.099843848021739e-05,-0.24864084075066276,-0.5512771580428678,0.043875697357721205,0.0031895478200213555
Sunshine (hours),-0.16151377704637435,0.10102697216071393,0.4830470340645809,-0.14794694740452902,0.2872632402312077,1.0,-0.05415407891426452,-0.04076308651389069,0.052752375473139566,0.21966234433964846,-0.25806912984131847,-0.5914561070907246,-0.08721736777664664,0.011820424203420082,0.20584611630588678,0.5071856883112418,-0.561842629752291,-0.7233728977457018,-0.019363612336234137,0.10853658994211471,0.13457508480884683,-0.2746478563745684,0.12953943909299653,-0.002205993502493933
Direction of maximum wind gust ,-0.08147238870083359,0.07349058011965859,-0.07782418318373092,0.07791784410643508,0.018672011020094876,-0.05415407891426452,1.0,-0.10603312321396706,0.06422510690104552,0.012060383783305968,-0.03435297982255847,0.09010389548870242,0.29704399164687767,-0.060368159277429424,-0.1135257192552799,-0.10299027736613339,0.08363710209028652,0.05248697984095439,0.5122162578101138,-0.2309489024566667,-0.02111262514522316,-0.020167917243513994,0.05934492842301162,0.048968087235002636
Speed of maximum wind gust (km/h),0.10915564884517262,0.023414270870189064,-0.07645486387711248,0.04435353110166921,0.1443648491733764,-0.04076308651389069,-0.10603312321396706,1.0,0.020957795599082833,0.08131367634514249,-0.3721490193449005,0.004227457601568151,-0.040130719081641626,0.6047595802664751,-0.41691845538331285,-0.1208082957219533,-0.0748268069299998,0.12656088229450732,-0.0907398020331708,0.662731220033375,-0.43390751373938974,0.14426357581221097,-0.1259868077020991,-0.036894646630230864
Time of maximum wind gust,-0.18824146377499748,0.11934977845087925,0.17504201349796017,-0.09672385218454665,0.020263955087862804,0.052752375473139566,0.06422510690104552,0.020957795599082833,1.0,0.13291779792885342,-0.03488997215391041,0.04612791661236789,-0.02460172164201737,-0.2052928580797769,0.03428805945008174,0.16941457457571332,-0.03202724453197958,-0.03991787182304531,0.02658205296220886,0.1353982753648743,-0.02446072317111611,-0.22614318673661102,-0.04191519088002633,0.05641509968850613
9am Temperature (°C),-0.37577449957308817,0.9117839260979594,0.8203637907656309,-0.027993354438899137,0.708552405216542,0.21966234433964846,0.012060383783305968,0.08131367634514249,0.13291779792885342,1.0,-0.45987035600749454,0.05311806486450291,0.11954149813265244,0.024133388718407183,-0.2692843532406529,0.7632658032732695,-0.16588833158991065,-0.013016368542810129,0.01705738975292947,-0.007164896640286543,-0.27979377515796977,-0.7309199224190722,0.003991637348253892,-0.018277560604968913
